Ceris
Dzina
Kaune
Bugis
Berta
Zara
Tarzis
Dodis
Boltikas
Bonis
Rokse
Juka
Petkus
Dzesika
Rudis
Taske
Braske (mansikka)
Tufiukas
Kodis
Mirta
Dora
Rifas
Kora
Lelia
Fuga
Bite
Timas
Voltikas
Romeo ja Bimas
Himmu
Feja
Lora
Fokse
Mailo
Riva
Lodis
Toto
Germa
Ceisas
Umede
Damute
Mazylis
Drasius (rohkea)
Serma
Vizge (hännänheiluttaja)
Viko
Storulis (paksukainen)
Mimi
"Poikapentu"
Doris
Kupstas
